형태소,품사,분류,카운트
hand,NN,BLACKPINK,1
hard,JJ,BLACKPINK,1
hard,JJ,Lady Gaga & BLACKPINK,4
hate,VB,BLACKPINK,13
hate,VBP,BLACKPINK,1
have,VB,BLACKPINK,11
have,VBP,BLACKPINK,7
he,PRP,BLACKPINK,5
head,NN,BLACKPINK,1
hear,VB,BLACKPINK,4
heard,RB,BLACKPINK,1
heard,VBN,BLACKPINK,1
heart,NN,BLACKPINK,3
heaven,RB,BLACKPINK,1
help,VB,BLACKPINK,3
henny,NN,BLACKPINK,1
her,PRP$,BLACKPINK,2
here,RB,Lady Gaga & BLACKPINK,1
hide,NN,BLACKPINK,1
high,JJ,BLACKPINK,3
higher,JJR,BLACKPINK,13
hijacked,JJ,BLACKPINK,1
him,PRP,BLACKPINK,8
hips,NNS,BLACKPINK,2
honey,NN,BLACKPINK,1
hoo,NN,BLACKPINK,1
hot,JJ,BLACKPINK,3
how,WRB,BLACKPINK,6
hug,NN,BLACKPINK,2
huh,NN,BLACKPINK,1
huh,VBP,BLACKPINK,1
hundred,JJ,BLACKPINK,1
ice,JJ,BLACKPINK,4
ice,NN,BLACKPINK,5
icy,NN,BLACKPINK,1
if,IN,BLACKPINK,11
if,IN,Lady Gaga & BLACKPINK,4
in,IN,BLACKPINK,27
insane,NN,BLACKPINK,1
inside,IN,BLACKPINK,1
inside,IN,Lady Gaga & BLACKPINK,4
inside,JJ,Lady Gaga & BLACKPINK,2
into,IN,BLACKPINK,2
is,VBZ,BLACKPINK,9
island,NN,BLACKPINK,1
it,PRP,BLACKPINK,89
it,PRP,Lady Gaga & BLACKPINK,1
jam,NN,BLACKPINK,2
jeans,NNS,BLACKPINK,1
judge,VB,BLACKPINK,3
just,RB,BLACKPINK,3
keep,VB,BLACKPINK,2
keep,VBP,BLACKPINK,4
keeps,VBZ,BLACKPINK,1
keys,NNS,BLACKPINK,1
kick,NN,BLACKPINK,2
kick,VB,BLACKPINK,20
kicked,VBD,BLACKPINK,2
kicked,VBN,BLACKPINK,1
kicks,NNS,BLACKPINK,1
kill,VB,BLACKPINK,5
killin,NNP,BLACKPINK,1
kills,VBZ,BLACKPINK,2
kind,NN,BLACKPINK,2
kinda,NNP,BLACKPINK,2
kiss,NN,BLACKPINK,4
kiss,VB,BLACKPINK,2
kiss,VBD,BLACKPINK,1
knew,VB,BLACKPINK,2
knew,VBD,BLACKPINK,1
know,VB,BLACKPINK,13
know,VBP,BLACKPINK,36
know,VBP,Lady Gaga & BLACKPINK,1
known,VBN,BLACKPINK,1
l-,JJ,BLACKPINK,32
lalala,NN,BLACKPINK,1
lately,RB,BLACKPINK,2
later,RB,BLACKPINK,45
lease,NN,BLACKPINK,2
least,JJS,Lady Gaga & BLACKPINK,1
leave,VBP,BLACKPINK,1
left,NN,BLACKPINK,1
left,VBD,BLACKPINK,2
left,VBN,BLACKPINK,1
let,NN,BLACKPINK,4
let,VB,BLACKPINK,2
let,VB,Lady Gaga & BLACKPINK,1
let,VBD,BLACKPINK,2
letter,NN,BLACKPINK,1
letters,NNS,BLACKPINK,1
letting,VBG,BLACKPINK,3
lick,NN,BLACKPINK,1
lick,VB,BLACKPINK,1
lie,NN,BLACKPINK,2
lie,VBP,BLACKPINK,1
life,NN,BLACKPINK,3
light,JJ,BLACKPINK,2
light,NN,BLACKPINK,1
light,VBD,BLACKPINK,1
lighting,VBG,BLACKPINK,3
lights,NNS,Lady Gaga & BLACKPINK,2
like,IN,BLACKPINK,59
like,VBP,BLACKPINK,10
lil,JJ,BLACKPINK,1
line,NN,BLACKPINK,1
lips,NNS,BLACKPINK,1
list,NN,BLACKPINK,1
lit,RBR,BLACKPINK,1
little,JJ,BLACKPINK,4
little,JJ,Lady Gaga & BLACKPINK,2
ll,JJ,BLACKPINK,11
ll,NNS,BLACKPINK,2
ll,RB,BLACKPINK,2
loco,NN,BLACKPINK,1
look,NN,BLACKPINK,4
look,VB,BLACKPINK,1
look,VBP,BLACKPINK,19
looking,VBG,BLACKPINK,4
loser,NN,BLACKPINK,1
loud,JJ,BLACKPINK,1
love,IN,BLACKPINK,10
love,NN,BLACKPINK,33
love,NN,Lady Gaga & BLACKPINK,2
love,VB,BLACKPINK,18
love,VBP,BLACKPINK,13
lovesick,JJ,BLACKPINK,7
low,JJ,Lady Gaga & BLACKPINK,2
m,JJ,BLACKPINK,14
m,PDT,BLACKPINK,2
m,RB,BLACKPINK,8
mad,IN,BLACKPINK,2
mad,JJ,BLACKPINK,1
mad,VBP,BLACKPINK,2
made,VBD,BLACKPINK,3
make,VB,BLACKPINK,1
make,VB,Lady Gaga & BLACKPINK,2
make,VBP,BLACKPINK,5
makes,VBZ,BLACKPINK,1
making,VBG,BLACKPINK,2
man,NN,BLACKPINK,6
manage,NN,BLACKPINK,2
maybe,RB,BLACKPINK,6
me,PRP,BLACKPINK,118
me,PRP,Lady Gaga & BLACKPINK,9
mean,JJ,Lady Gaga & BLACKPINK,1
mean,VBP,BLACKPINK,4
meet,NN,BLACKPINK,1
melting,VBG,BLACKPINK,1
mess,NN,BLACKPINK,2
messed,VBD,BLACKPINK,2
messed,VBN,Lady Gaga & BLACKPINK,1
metal,NN,BLACKPINK,1
might,MD,BLACKPINK,2
might,MD,Lady Gaga & BLACKPINK,1
mind,NN,BLACKPINK,1
mine,JJ,BLACKPINK,1
miss,VB,BLACKPINK,1
miss,VBP,BLACKPINK,1
missile,NN,BLACKPINK,4
missing,VBG,BLACKPINK,2
mistaken,JJ,BLACKPINK,1
moment,NN,BLACKPINK,3
more,JJR,BLACKPINK,1
more,RBR,BLACKPINK,4
move,NN,BLACKPINK,2
move,VBP,BLACKPINK,1
movie,NN,BLACKPINK,1
movin,VBD,BLACKPINK,2
much,JJ,BLACKPINK,1
murdered,VBN,BLACKPINK,1
must,MD,BLACKPINK,1
my,PRP$,BLACKPINK,49
myself,PRP,BLACKPINK,2
myself,VB,BLACKPINK,1
n't,RB,BLACKPINK,12
n't,RB,Lady Gaga & BLACKPINK,1
na,JJ,BLACKPINK,7
na,JJ,Lady Gaga & BLACKPINK,1
na,NN,BLACKPINK,1
na,NNS,BLACKPINK,4
na,RB,BLACKPINK,4
na,TO,BLACKPINK,54
na,VB,BLACKPINK,9
nah,VBP,BLACKPINK,2
nasty,JJ,BLACKPINK,1
need,MD,BLACKPINK,1
need,VBP,BLACKPINK,8
needed,VBD,BLACKPINK,2
negative,JJ,BLACKPINK,2
never,RB,BLACKPINK,11
nice,JJ,BLACKPINK,1
nice,JJ,Lady Gaga & BLACKPINK,1
night,NN,BLACKPINK,5
nights,NNS,BLACKPINK,2
no,DT,BLACKPINK,19
nobody,NN,BLACKPINK,1
not,RB,BLACKPINK,9
not,RB,Lady Gaga & BLACKPINK,1
nothin,JJ,BLACKPINK,3
nothing,NN,BLACKPINK,1
now,RB,BLACKPINK,16
now,RB,Lady Gaga & BLACKPINK,1
o,JJ,BLACKPINK,1
o,NN,BLACKPINK,1
of,IN,BLACKPINK,6
oh,RB,BLACKPINK,1
oh,UH,BLACKPINK,1
oh,VBZ,BLACKPINK,1
ohh,MD,BLACKPINK,1
okay,JJ,BLACKPINK,1
old,JJ,BLACKPINK,1
